Student_ID,Age,Gender,Course,Year_of_Study,Monthly_Income,Food_Expense,Transport_Expense,Entertainment_Expense,Shopping_Expense,Rent_Hostel_Fee,Mobile_Recharge,Family_Income,Scholarship,Savings_Amount,Saving_Class
1001,21,Male,BBA,3,9282,3384,2096,1351,311,2500,599,143686,No,0,Low
1002,21,Male,B.Tech CS,4,17660,2874,1434,3399,2157,4500,399,120774,No,2897,Medium
1003,22,Male,B.Com,1,7606,2374,1229,1391,1061,5500,599,137953,Yes,0,Low
1004,20,Female,B.Com,4,15105,2586,1767,889,2870,0,399,45687,No,6594,High
1005,18,Male,B.Com,2,10797,4250,1751,3307,1625,0,399,130329,No,0,Low
1006,22,Female,BCA,2,11323,2354,575,2005,1389,3500,499,105460,No,1001,Low
1007,21,Male,B.Tech CS,3,13491,3264,1247,3004,2938,2500,499,73420,Yes,39,Low
1008,23,Male,MBA,1,20648,3214,1751,2797,615,2500,299,136974,Yes,9472,High
1009,19,Female,B.Com,4,23181,3371,889,1805,2958,2500,399,72724,Yes,11259,High
1010,23,Female,B.Tech CS,4,19588,2040,618,2862,589,4500,499,111790,No,8480,High
1011,19,Female,BCA,4,17485,2925,1346,1648,2597,0,399,32551,No,8570,High
1012,22,Male,BBA,3,7035,3407,544,2501,2573,0,499,61523,No,0,Low
1013,18,Male,B.Com,3,9481,2439,1814,1244,1212,2500,399,98878,No,0,Low
1014,20,Male,B.Com,4,16689,2436,650,1355,385,4500,399,97311,No,6964,High
1015,23,Female,BBA,2,18281,3127,1983,2663,1713,0,299,101230,No,8496,High
1016,21,Female,B.Tech IT,1,8980,3393,2026,2965,2491,0,249,51412,Yes,0,Low
1017,23,Female,B.Tech IT,1,9630,3241,2169,3364,1255,0,299,37801,Yes,0,Low
1018,23,Male,B.Com,2,14714,2075,737,1655,1052,3500,299,125547,Yes,5396,High
1019,22,Female,MBA,4,18005,2836,683,872,2668,0,249,111110,Yes,10697,High
1020,24,Female,BBA,1,21058,2881,535,1687,850,0,599,132285,No,14506,High
1021,21,Male,BCA,1,11695,1926,535,2933,1608,3500,249,114724,Yes,944,Low
1022,22,Male,B.Com,4,14601,2423,630,2887,2775,0,299,147828,No,5587,High
1023,24,Female,B.Tech IT,2,20183,2693,1659,1800,422,3500,599,134639,No,9510,High
1024,23,Male,BCA,2,20940,3329,1830,2763,2336,0,399,149776,No,10283,High
1025,22,Male,B.Com,2,14091,3747,1674,1650,2046,4500,299,81534,No,175,Low
1026,18,Female,BBA,2,11539,3100,1053,2459,2417,0,249,130610,Yes,2261,Medium
1027,19,Female,BBA,4,7602,1865,918,2845,2552,3500,299,117626,Yes,0,Low
1028,23,Female,B.Tech CS,3,10227,2731,1277,2784,473,5500,249,110568,Yes,0,Low
1029,24,Male,MBA,4,16421,2511,2174,1508,2326,5500,299,47105,No,2103,Medium
1030,22,Male,B.Com,2,21550,2901,1759,3165,495,2500,599,92564,No,10131,High
1031,19,Female,B.Tech IT,3,17823,2391,1778,2701,1694,0,499,124154,No,8760,High
1032,20,Female,B.Tech IT,1,21143,2700,701,3153,677,3500,599,100723,Yes,9813,High
1033,24,Male,B.Tech CS,2,15299,2004,1476,1286,977,2500,499,130884,No,6557,High
1034,22,Male,B.Tech CS,3,9641,3335,730,798,1684,4500,249,123087,No,0,Low
1035,20,Male,B.Com,1,20984,4184,1150,3019,2260,2500,499,35754,No,7372,High
1036,18,Male,B.Com,1,9839,4057,1705,2333,1543,2500,299,123257,No,0,Low
1037,20,Female,B.Com,2,11157,2267,1897,2052,2089,0,299,100957,Yes,2553,Medium
1038,19,Female,BCA,1,23740,3314,1185,1389,2892,4500,499,122083,Yes,9961,High
1039,20,Male,B.Tech CS,3,7351,3417,1979,2188,2779,0,399,127357,Yes,0,Low
1040,20,Male,B.Tech IT,3,12106,3132,1919,2365,2800,0,599,112632,No,1291,Medium
1041,19,Female,MBA,2,11224,2332,873,2940,464,2500,599,130668,Yes,1516,Medium
1042,19,Female,B.Tech CS,1,7831,2532,1605,2200,1694,0,299,95084,Yes,0,Low
1043,21,Female,BCA,2,12775,4122,1651,1806,565,0,299,119953,No,4332,High
1044,21,Female,B.Tech IT,2,9106,3236,1845,2224,1093,3500,499,57448,Yes,0,Low
1045,21,Female,BCA,4,15404,3675,1037,804,412,0,399,142308,No,9077,High
1046,19,Female,BBA,3,24658,2211,2101,1732,839,3500,299,104428,No,13976,High
1047,19,Female,BCA,1,8251,4231,864,2193,525,0,399,118315,Yes,39,Low
1048,20,Female,MBA,1,7237,3817,2025,1122,906,5500,249,125952,No,0,Low
1049,20,Male,BBA,2,20126,2155,2125,1005,330,5500,599,99820,No,8412,High
1050,21,Male,B.Com,1,10639,3199,1918,1198,1541,4500,299,70099,No,0,Low
1051,21,Female,B.Tech IT,3,15622,2458,622,2784,2113,2500,599,136842,Yes,4546,Medium
